No,Tahun,Tanggal/Bulan,KK,Iuran,Pemasukan,Pengeluaran,Simpan,Saldo Akhir,Lampiran,Keterangan
1,2023,Oct,114,"Rp50,000.00","Rp5,700,000.00","Rp3,795,000.00","Rp1,905,000.00","Rp4,560,500.00",https://drive.google.com/file/d/1r-F7onGJcHCshenYDE6ShHfjeiD2HjSD/view?usp=sharing,OK
2,2023,Nov,114,"Rp50,000.00","Rp5,700,000.00","Rp5,269,000.00","Rp431,000.00","Rp4,991,500.00",https://drive.google.com/file/d/12s5dcOY8J5PNRpC_9-PdOiS6XiPQe2xW/view?usp=sharing,OK
3,2023,Dec,114,"Rp50,000.00","Rp5,700,000.00","Rp4,095,000.00","Rp1,605,000.00","Rp6,596,500.00",https://drive.google.com/file/d/12s5dcOY8J5PNRpC_9-PdOiS6XiPQe2xW/view?usp=sharing,OK
4,2024,Jan,114,"Rp50,000.00","Rp5,700,000.00","Rp3,845,000.00","Rp1,855,000.00","Rp8,451,500.00",https://drive.google.com/file/d/12s5dcOY8J5PNRpC_9-PdOiS6XiPQe2xW/view?usp=sharing,OK
5,2024,Feb,114,"Rp55,000.00",Rp0.00,Rp0.00,Rp0.00,Rp0.00,~,Check Data
6,2024,Mar,114,"Rp55,000.00",Rp0.00,Rp0.00,Rp0.00,Rp0.00,~,Check Data
7,2024,Apr,114,"Rp55,000.00",Rp0.00,Rp0.00,Rp0.00,Rp0.00,~,Check Data
8,2024,May,114,"Rp55,000.00",Rp0.00,Rp0.00,Rp0.00,Rp0.00,~,Check Data
9,2024,Jun,113,"Rp55,000.00","Rp6,215,000.00","Rp4,305,000.00","Rp1,910,000.00","Rp6,757,500.00",https://drive.google.com/file/d/1mTD2NdQB8iMN63KWIJ-hiu2la1oLEqiD/view?usp=sharing,OK
10,2024,Jul,114,"Rp55,000.00","Rp6,270,000.00","Rp4,480,000.00","Rp1,790,000.00","Rp8,547,500.00",https://drive.google.com/file/d/1mTD2NdQB8iMN63KWIJ-hiu2la1oLEqiD/view?usp=sharing,OK
11,2024,Aug,114,"Rp55,000.00","Rp6,270,000.00","Rp12,499,000.00","-Rp6,229,000.00","Rp2,442,500.00",https://drive.google.com/file/d/1mTD2NdQB8iMN63KWIJ-hiu2la1oLEqiD/view?usp=sharing,OK
12,2024,Sep,113,"Rp55,000.00","Rp6,215,000.00","Rp4,600,000.00","Rp1,615,000.00","Rp4,057,500.00",https://drive.google.com/file/d/1IHNC9vDbIJLPppq-xhN0Yi-iyuH6fCrk/view?usp=sharing,"Selisih Hitung Actual 
(Denda Kejra Bakti)"
13,2024,Oct,115,"Rp55,000.00","Rp6,325,000.00","Rp4,360,000.00","Rp1,965,000.00","Rp7,835,500.00",https://drive.google.com/file/d/1IbpD5UdlhP9kguFlHbk6sQVSchyFQJ7e/view?usp=sharing,"Selisih Hitung Actual 
(Sampah & Air Minum 30K)"
14,2024,Nov,115,"Rp55,000.00","Rp6,325,000.00","Rp5,652,000.00","Rp673,000.00","Rp8,508,500.00",https://drive.google.com/file/d/1BpCEmbrHoUwCAC8R4nUD3yLhfLwibVFD/view?usp=sharing,Update
15,2024,Dec,115,"Rp55,000.00","Rp6,325,000.00","Rp5,410,000.00","Rp915,000.00","Rp9,423,500.00",https://drive.google.com/file/d/1ef8CrNz4zl-7TkNxTr8dJJVAHAInSOhd/view?usp=sharing,Update
16,2025,Jan,114,"Rp55,000.00","Rp6,270,000.00","Rp4,535,000.00","Rp1,735,000.00","Rp11,158,500.00",https://drive.google.com/file/d/1mnAnMw8IQD4XWo_n6xuBM_cb4OJdGUmT/view?usp=sharing,OK
17,2025,Feb,115,"Rp55,000.00","Rp6,325,000.00",Rp0.00,Rp0.00,"Rp10,158,500.00",,Check
18,2025,Mar,115,"Rp55,000.00","Rp6,325,000.00","Rp4,933,000.00","Rp1,392,000.00","Rp11,550,500.00",https://drive.google.com/file/d/1_nbxb9zVlGrlBPdT5V5yfezMkFiCQbF6/view?usp=sharing,OK
19,2025,Apr,115,"Rp55,000.00","Rp6,325,000.00","Rp14,020,000.00","-Rp7,695,000.00","Rp3,855,500.00",https://drive.google.com/file/d/1qDggklMzFduICjVZ8R5bxd3TrACsCAkw/view?usp=sharing,OK (Check Kebutuhan lebaran)
20,2025,May,114,"Rp55,000.00","Rp6,270,000.00","Rp4,400,000.00","Rp1,870,000.00","Rp5,725,500.00",https://drive.google.com/file/d/1_W7yfQEvJOJ1BNH0JQYzTO3kUAopZcFA/view?usp=sharing,OK
21,2025,Jun,115,"Rp55,000.00","Rp6,325,000.00","Rp4,933,000.00","Rp1,392,000.00","Rp7,117,500.00",https://drive.google.com/file/d/1qGMGnkLeiYZddGfElZMPNSiA7eay5sDm/view?usp=sharing,OK
22,2025,Jul,115,"Rp55,000.00","Rp6,325,000.00","Rp4,484,000.00","Rp1,841,000.00","Rp8,958,500.00",https://drive.google.com/file/d/1Q82OWwZ07OZOCLqvQavy0e45RQi3zFsh/view?usp=sharing,OK
23,2025,Aug,114,"Rp55,000.00","Rp6,270,000.00","Rp12,955,000.00","-Rp6,685,000.00","Rp2,273,500.00",https://drive.google.com/file/d/1r9z8IfCRCKpjt9ui3bEEPh3TGSHTHwmI/view?usp=sharing,"Check Selisih Kebutuhan Agustusan Sisa Rp 2.273.500,- (Sisa Rp 600.000,- Dimasukkan Kas Sept)"
24,2025,Sep,115,"Rp55,000.00","Rp6,325,000.00","Rp5,573,000.00","Rp752,000.00","Rp3,227,000.00",https://drive.google.com/file/d/1vTJ6A3PWuno-vQcrS25nEvqW8fCr_Glc/view?usp=sharing,OK
25,2025,Oct,113,"Rp55,000.00","Rp6,215,000.00","Rp5,024,000.00","Rp1,191,000.00","Rp4,418,000.00",https://drive.google.com/file/d/1msSb2VNxN3U2GM-kGxKVFQv-Cnryc32k/view?usp=sharing,"OK (subsidi Dana kebersihan Kali Rp 500.000,-)"
26,2025,Nov,114,"Rp55,000.00","Rp6,270,000.00","Rp4,500,000.00","Rp1,770,000.00","Rp6,188,000.00",https://drive.google.com/file/d/11g8g573BJGymiPCicw8wFN6qKEXSDTSB/view?usp=sharing,OK
27,2025,Dec,114,"Rp55,000.00","Rp6,270,000.00","Rp5,316,000.00","Rp954,000.00","Rp7,142,000.00",https://drive.google.com/file/d/1Bn2Z3zRXmurncdUy5S8Rf4pq-Hhjoa8j/view?usp=sharing,"OK (konsumsi Rapat Akhir tahun Rp 261.000,-)"
28,2026,Jan,114,"Rp55,000.00","Rp6,270,000.00","Rp4,935,000.00","Rp1,335,000.00","Rp8,477,000.00",https://drive.google.com/file/d/1bdHpAorp1NtWZNbjGB0sm9rU4fzfwE8_/view?usp=sharing,OK
29,2026,Feb,,,,,,,,
